Movie_Title,MPAA,Distributor,Genre,Rotten_Tomatoes_Rating
Bill & Ted's Bogus Journey,0,Orion Pictures,Comedy,58.0
The Birth of a Nation,0,0,Drama,100.0
The Ballad of Cable Hogue,0,Warner Bros.,Western,92.0
The Blood of Heroes,0,New Line,Action,0.0
The Blood of My Brother: A Story of Death in Iraq,0,Lifesize Entertainment,Documentary,71.0
Boomerang,0,Paramount Pictures,Comedy,37.0
The Bridge on the River Kwai,0,Sony/Columbia,Drama,95.0
Born on the Fourth of July,0,Universal,Drama,89.0
Basquiat,R,Miramax,Drama,69.0
Black Rain,0,Paramount Pictures,Thriller/Suspense,57.0
Bottle Rocket,R,Sony Pictures,Adventure,79.0
Braindead,0,Trimark,Horror,0.0
The Bridges of Madison County,PG-13,Warner Bros.,Drama,90.0
The Brothers McMullen,R,Fox Searchlight,Drama,91.0
Dracula,R,Sony Pictures,Horror,0.0
Broken Arrow,R,20th Century Fox,Action,55.0
Brainstorm,0,MGM,Thriller/Suspense,64.0
Braveheart,R,Paramount Pictures,Drama,77.0
Les BronzÈs 3: amis pour la vie,0,0,Comedy,0.0
Brazil,R,Universal,Black Comedy,98.0
Blazing Saddles,0,Warner Bros.,Comedy,89.0
The Basket,PG,MGM,Drama,0.0
Bathing Beauty,0,MGM,Musical,0.0
Bill & Ted's Excellent Adventure,0,Orion Pictures,Comedy,81.0
A Bridge Too Far,0,MGM,Action,67.0
Beetle Juice,0,Warner Bros.,Comedy,0.0
Batman Returns,PG-13,Warner Bros.,Action,78.0
Batman Forever,PG-13,Warner Bros.,Action,43.0
Batman - The Movie,0,0,0,0.0
Batman,PG-13,Warner Bros.,Action,71.0
Buffy the Vampire Slayer,0,20th Century Fox,Horror,32.0
Bienvenue chez les Ch'tis,Not Rated,Link Productions Ltd.,Comedy,0.0
Beyond the Valley of the Dolls,0,20th Century Fox,Comedy,68.0
Broken Vessels,R,0,Drama,0.0
The Boys from Brazil,0,20th Century Fox,Thriller/Suspense,65.0
The Business of Fancy Dancing,Not Rated,Outrider Pictures,Drama,0.0
Caddyshack,0,Warner Bros.,Comedy,75.0
Cape Fear,R,Universal,Thriller/Suspense,76.0
Clear and Present Danger,PG-13,Paramount Pictures,Action,78.0
Carrie,0,MGM,Horror,90.0
Casino Royale,0,Sony Pictures,Comedy,30.0
Camping Sauvage,Not Rated,Alliance,Comedy,0.0
The Cotton Club,0,Orion Pictures,Drama,74.0
Crop Circles: Quest for Truth,0,0,0,60.0
Close Encounters of the Third Kind,0,Sony Pictures,Adventure,95.0
The Cable Guy,PG-13,Sony Pictures,Comedy,52.0
Chocolate: Deep Dark Secrets,Not Rated,Eros Entertainment,Thriller/Suspense,0.0
Child's Play,0,United Artists,Horror,70.0
Child's Play 2,0,Universal,Horror,38.0
Chain Reaction,PG-13,20th Century Fox,Action,13.0
Charly,PG,Excel Entertainment,Drama,0.0
Chariots of Fire,0,Sony Pictures,Drama,86.0
A Christmas Story,PG,MGM,Comedy,88.0
Cat on a Hot Tin Roof,0,MGM,Drama,100.0
C.H.U.D.,0,New World,Horror,0.0
"Charge of the Light Brigade, The",0,Warner Bros.,Action,0.0
Crooklyn,PG-13,Universal,Comedy,75.0
Festen,R,October Films,Comedy,0.0
Cleopatra,0,20th Century Fox,Drama,40.0
Cliffhanger,0,Sony Pictures,Action,82.0
The Californians,PG,Fabrication Films,Drama,0.0
The Client,PG-13,Warner Bros.,Drama,80.0
The Calling,PG,Testimony Pictures,Drama,0.0
Clueless,PG-13,Paramount Pictures,Comedy,83.0
The Color Purple,0,Warner Bros.,Drama,88.0
Clerks,R,Miramax,Comedy,88.0
Central do Brasil,R,Sony Pictures Classics,Drama,0.0
Clash of the Titans,0,MGM,Adventure,65.0
Clockwatchers,PG-13,Artistic License,0,0.0
Commando,0,20th Century Fox,Action,71.0
The Color of Money,0,Walt Disney Pictures,Drama,91.0
Cinderella,0,Walt Disney Pictures,Drama,92.0
Congo,PG-13,Paramount Pictures,Adventure,21.0
Conan the Barbarian,0,Universal,Action,76.0
Conan the Destroyer,0,Universal,Action,29.0
Class of 1984,0,United Film Distribution Co.,Drama,0.0
The Clan of the Cave Bear,0,Warner Bros.,Adventure,13.0
The Case of the Grinning Cat,Not Rated,First Run/Icarus,Documentary,0.0
Bacheha-Ye aseman,PG,Miramax,Comedy,0.0
Coming Home,0,0,0,81.0
Nanjing! Nanjing!,R,National Geographic Entertainment,0,0.0
Cool Runnings,0,Walt Disney Pictures,Comedy,73.0
Conquest of the Planet of the Apes,0,0,0,44.0
Cure,Not Rated,0,0,0.0
Crocodile Dundee,0,Paramount Pictures,Comedy,88.0
Dayereh,Not Rated,WinStar Cinema,Drama,0.0
Karakter,R,Sony Pictures Classics,Drama,0.0
Creepshow,0,Warner Bros.,Horror,67.0
Creepshow 2,0,New World,Horror,26.0
The Crying Game,R,Miramax,Drama,100.0
Crimson Tide,R,Walt Disney Pictures,Action,86.0
Caravans,0,Universal,Adventure,0.0
Crying With Laughter,0,0,0,0.0
Fengkuang de Shitou,0,0,Black Comedy,0.0
Casablanca,0,Warner Bros.,Drama,97.0
Casino,R,Universal,Drama,81.0
Casper,PG,Universal,Comedy,41.0
Can't Stop the Music,0,0,Musical,0.0
Catch-22,0,Paramount Pictures,Comedy,87.0
City Hall,R,Sony Pictures,Drama,55.0
Cutthroat Island,PG-13,MGM,Adventure,45.0
La femme de chambre du Titanic,0,MGM,Drama,0.0
Cat People,0,RKO Radio Pictures,Drama,91.0
Courage Under Fire,R,20th Century Fox,Drama,85.0
C'era una volta il West,PG-13,Paramount Pictures,Western,0.0
The Conversation,0,Paramount Pictures,Thriller/Suspense,98.0
Cavite,Not Rated,Truly Indie,Thriller/Suspense,0.0
Copycat,R,Warner Bros.,Thriller/Suspense,75.0
Dark Angel,0,Triumph Releasing,Action,0.0
"Boot, Das",R,Sony/Columbia,Drama,0.0
Desperado,R,Sony Pictures,Action,61.0
Dumb & Dumber,PG-13,New Line,Comedy,0.0
Diamonds Are Forever,0,MGM,Action,67.0
The Dark Half,0,Orion Pictures,Horror,0.0
The Dark Hours,R,Freestyle Releasing,Horror,0.0
Dante's Peak,PG-13,Universal,Drama,28.0
Daylight,PG-13,Universal,Action,22.0
Dick Tracy,0,Walt Disney Pictures,Action,65.0
Decoys,R,0,0,0.0
Dawn of the Dead,0,United Film Distribution Co.,Horror,0.0
The Addams Family,0,Paramount Pictures,Comedy,59.0
Death Becomes Her,0,Universal,Comedy,53.0
Def-Con 4,0,New World,Action,0.0
Dead Poets' Society,0,Walt Disney Pictures,Drama,86.0
The Day the Earth Stood Still,0,0,0,94.0
Deep Throat,0,0,0,0.0
The Dead Zone,0,Paramount Pictures,Horror,0.0
Die Hard 2,0,20th Century Fox,Action,0.0
Die Hard: With a Vengeance,R,20th Century Fox,Action,0.0
Dragonheart,PG-13,Universal,Adventure,50.0
Die Hard,0,20th Century Fox,Action,94.0
Diner,0,MGM,Comedy,96.0
Dil Jo Bhi Kahey...,Not Rated,Eros Entertainment,Drama,0.0
Don Juan DeMarco,PG-13,New Line,Drama,73.0
Tales from the Crypt: Demon Knight,R,Universal,Horror,0.0
Damnation Alley,0,0,0,0.0
Dead Man Walking,R,Gramercy,Drama,94.0
Dances with Wolves,0,Orion Pictures,Western,76.0
Dangerous Liaisons,0,Warner Bros.,Drama,93.0
Donovan's Reef,0,0,0,60.0
Due occhi diabolici,0,0,0,0.0
Double Impact,0,Sony Pictures,Action,8.0
The Doors,0,Sony Pictures,Drama,57.0
Day of the Dead,0,United Film Distribution Co.,Horror,78.0
Days of Thunder,0,Paramount Pictures,Action,40.0
Dracula: Pages from a Virgin's Diary,Not Rated,0,0,0.0
Dolphin,0,0,Documentary,0.0
Death Race 2000,R,0,0,84.0
Drei,0,0,0,0.0
The Dress,Not Rated,Attitude Films,Drama,0.0
The Deer Hunter,0,Universal,Drama,0.0
Dragonslayer,0,Paramount Pictures,Action,82.0
Driving Miss Daisy,0,Warner Bros.,Drama,78.0
Dressed to Kill,0,0,0,84.0
Do the Right Thing,0,Universal,Comedy,98.0
Dune,0,Universal,Action,62.0
Dolphins and Whales Tribes of the Ocean 3D,Not Rated,3D Entertainment,Documentary,0.0
Down & Out with the Dolls,R,Indican Pictures,0,0.0
Dream With The Fishes,R,Sony Pictures Classics,Drama,58.0
Doctor Zhivago,PG-13,MGM,Drama,84.0
The Evil Dead,NC-17,New Line,Horror,0.0
Evil Dead II,0,Rosebud Releasing,Horror,0.0
Army of Darkness,R,Universal,Horror,0.0
Ed and his Dead Mother,0,0,0,50.0
Edward Scissorhands,0,20th Century Fox,Comedy,91.0
Ed Wood,R,Walt Disney Pictures,Comedy,91.0
The Egyptian,0,0,0,0.0
Everyone Says I Love You,R,Miramax,Musical,80.0
The Elephant Man,0,0,0,91.0
Emma,PG,Miramax,Romantic Comedy,0.0
Star Wars Ep. V: The Empire Strikes Back,PG,20th Century Fox,Adventure,0.0
Escape from New York,0,Avco Embassy,Action,82.0
Escape from L.A.,R,Paramount Pictures,Action,56.0
Escape from the Planet of the Apes,0,0,0,78.0
Eraser,R,Warner Bros.,Action,34.0
Eraserhead,0,0,0,90.0
Everything You Always Wanted to Know,0,MGM,Comedy,0.0
ET: The Extra-Terrestrial,PG,Universal,Drama,0.0
Excessive Force,0,0,0,0.0
Exorcist II: The Heretic,0,0,Horror,0.0
Exotica,R,Miramax,Drama,96.0
Force 10 from Navarone,0,Sony/Columbia,Action,64.0
A Farewell To Arms,0,0,0,0.0
Fatal Attraction,0,Paramount Pictures,Thriller/Suspense,81.0
Family Plot,0,Universal,0,95.0
Fabled,R,Indican Pictures,Horror,0.0
Fetching Cody,0,0,Comedy,0.0
The French Connection,0,0,0,98.0
From Dusk Till Dawn,R,Miramax/Dimension,Horror,63.0
Friday the 13th,0,Paramount Pictures,Horror,60.0
Friday the 13th Part 3,0,Paramount Pictures,Horror,14.0
Friday the 13th Part IV: The Final Chapter,0,Paramount Pictures,Horror,0.0
